hscode,description
5603.92,"Nonwovens; whether or not impregnated, coated, covered or laminated, not of man-made filaments, (weighing more than 25g/m2 but not more than 70g/m2)"
5603.93,"Nonwovens; whether or not impregnated, coated, covered or laminated, not of man-made filaments, (weighing more than 70g/m2 but not more than 150g/m2)"
5603.94,"Nonwovens; whether or not impregnated, coated, covered or laminated, not of man-made filaments, (weighing more than 150g/m2)"
5604.10,Rubber thread and cord; textile covered
5604.90,"Yarn; textile yarn, strip, and the like of heading no. 5404 or 5405, impregnated, coated, covered, or sheathed with rubber or plastics, n.e.c. in heading no. 5604"
5605.00,"Yarn; metallised, whether or not gimped, of textile yarn, or strip or the like of heading no. 5404 or 5405, combined with metal in the form of thread, strip or powder or covered with metal"
5606.00,"Yarn and strip and the like of heading no. 5404 or 5405; gimped, (other than those of heading no. 5406 and gimped horsehair yarn); chenille yarn (including flock chenille yarn); loop wale-yarn"
5607.21,"Twine; binder or baler twine, of sisal or other textile fibres of the genus agave"
5607.29,"Twine, cordage, ropes, cables; of sisal or other textile fibres of the genus agave (excluding binder or baler twine), whether or not plaited, braided or rubber or plastic impregnated, coated, covered or sheathed"
5607.41,"Twine; binder or baler twine, of polyethylene or polypropylene"
5607.49,"Twine, cordage, ropes, cables; of polyethylene or polypropylene (excluding binder or baler twine), whether or not plaited, braided or rubber or plastic impregnated, coated, covered or sheathed"
5607.50,"Twine, cordage, ropes, cables; of synthetic fibres other than polyethylene or polypropylene, whether or not plaited, braided or impregnated, coated, covered or sheathed with rubber or plastics"
5607.90,"Twine, cordage, ropes, cables; of materials n.e.c. in heading no. 5607, whether or not plaited, braided or impregnated, coated, covered, or sheathed with rubber or plastics"
5608.11,"Twine, cordage or rope; fishing nets, made up, of man made textile materials"
5608.19,"Twine, cordage or rope; knotted netting, for other than fishing, of man-made textile materials"
5608.90,"Twine, cordage or rope; knotted netting, of other than man-made textiles"
5609.00,"Yarn; articles of yarn, strip or the like of heading no. 5404 and 5405, twine, cordage, rope or cables n.e.c. or included"
5701.10,"Carpets and other textile floor coverings; knotted, of wool or fine animal hair, whether or not made up"
5701.90,"Carpets and other textile floor coverings; knotted, of textile materials (other than wool or fine animal hair), whether or not made up"
5702.10,"Carpets and other textile floor coverings; woven, (not tufted or flocked), whether or not made up, including kelem, schumacks, karamanie and similar hand-woven rugs"
5702.20,"Carpets and other textile floor coverings; woven, (not tufted or flocked), whether or not made up, of coconut fibres (coir)"
5702.31,"Carpets and other textile floor coverings; woven, (not tufted or flocked), of wool or fine animal hair, of pile construction, not made up, n.e.c. in item no. 5702.10 or 5702.20"
5702.32,"Carpets and other textile floor coverings; woven, (not tufted or flocked), of man-made textile materials, of pile construction, not made up, n.e.c. in item no. 5702.10 or 5702.20"
5702.39,"Carpets and other textile floor coverings; woven, (not tufted or flocked), of textile materials (other than man-made, wool or fine animal hair), of pile construction, not made up, n.e.c. in item no. 5702.10 or 5702.20"
5702.41,"Carpets and other textile floor coverings; woven, (not tufted or flocked), of wool or fine animal hair, of pile construction, made up, n.e.c. in item no. 5702.10 or 5702.20"
5702.42,"Carpets and other textile floor coverings; woven, (not tufted or flocked), of man-made textile materials, of pile construction, made up, n.e.c. in item no. 5702.10 or 5702.20"
5702.49,"Carpets and other textile floor coverings; woven, (not tufted or flocked), of textile materials (other than man-made, wool or fine animal hair), of pile construction, made up, n.e.c. in item no. 5702.10 or 5702.20"
5702.50,"Carpets and other textile floor coverings; woven, (not tufted or flocked), not of pile construction, not made up, n.e.c. in item no. 5702.10 or 5702.20"
5702.91,"Carpets and other textile floor coverings; woven, (not tufted or flocked), of wool or fine animal hair, (not of pile construction), made up, n.e.c. in item no. 5702.10 or 5702.20"
5702.92,"Carpets and other textile floor coverings; woven, (not tufted or flocked), of man-made textile materials, (not of pile construction), made up, n.e.c. in item no. 5702.10 or 5702.20"
5702.99,"Carpets and other textile floor coverings; woven, (not tufted or flocked), of textile materials (other than man-made or wool or fine animal hair, not of pile construction), made up, n.e.c. in item no. 5702.10 or 5702.20"
5703.10,"Carpets and other textile floor coverings (including turf); tufted, of wool or fine animal hair, whether or not made up"
5703.21,"Carpets and other textile floor coverings; tufted, of nylon or other polyamides, whether or not made up"
5703.29,"Carpets; tufted, of nylon or other polyamides, whether or not made up"
5703.31,"Carpets and other textile floor coverings; tufted, of other man-made textile materials (other than polyamides), whether or not made up"
5703.39,"Carpets; tufted, of man-made textile materials (other than polyamides), whether of not made up"
5703.90,"Carpets and other textile floor coverings; tufted, of textile materials (other than man-made, wool or fine animal hair), whether or not made up"
5704.10,"Textile floor coverings; felt tiles, (not tufted or flocked), whether or not made up, having a maximum surface area of 0.3m2"
5704.20,"Carpets and other textile floor coverings; of felt, (not tufted or flocked), whether or not made up, having a maximum surface area exceeding 0.3 m2 but not exceeding 1 m2"
5704.90,"Carpets and other textile floor coverings; of felt, (not tufted or flocked), in the piece, whether or not made up, having a maximum surface area exceeding 1 m2"
5705.00,"Carpets and other textile floor coverings; n.e.c. in chapter 57, whether or not made up"
5801.10,"Fabrics; woven pile, of wool or fine animal hair, other than fabrics of heading no. 5802 or 5806"
5801.21,"Fabrics; woven pile, of cotton, uncut weft pile fabrics, other than fabrics of heading no. 5802 or 5806"
5801.22,"Fabrics; woven pile, of cotton, cut corduroy, other than fabrics of heading no. 5802 or 5806"
5801.23,"Fabrics; woven pile, of cotton, weft pile fabrics other than uncut and corduroy, other than fabrics of heading no. 5802 or 5806"
5801.26,"Fabrics; chenille, of cotton, other than fabrics of heading no. 5802 or 5806"
5801.27,"Fabrics; woven pile, of cotton, warp pile fabrics, other than fabrics of heading no. 5802 or 5806"
5801.31,"Fabrics; woven pile, of man-made fibres, uncut weft pile fabrics, other than fabrics of heading no. 5802 or 5806"
5801.32,"Fabrics; woven pile, of man-made fibres, cut corduroy, other than fabrics of heading no. 5802 or 5806"
5801.33,"Fabrics; woven pile, of man-made fibres, other weft pile fabrics, other than fabrics of heading no. 5802 or 5806"
5801.36,"Fabrics; chenille, of man-made fibres, other than fabrics of heading no. 5802 or 5806"
5801.37,"Fabrics; woven pile, of man-made fibres, warp pile fabrics, other than fabrics of heading no. 5802 or 5806"
5801.90,"Fabrics; woven pile and chenille, of textile materials n.e.c. in heading no. 5801, other than fabrics of heading no. 5802 or 5806"
5802.10,"Fabrics; terry towelling and similar woven terry fabrics, of cotton, whether bleached or unbleached, excluding narrow fabrics of heading no. 5806"
5802.20,"Fabrics; terry towelling and similar woven terry fabrics, of textile materials, excluding cotton, excluding narrow fabrics of heading no. 5806"
5802.30,"Fabrics; tufted textile fabrics, excluding products of heading no. 5703"
5803.00,Gauze; other than narrow fabrics of heading no. 5806
5804.10,"Tulles and other net fabrics; excluding woven, knitted or crocheted fabrics, (other than fabrics of headings 60.02 to 60.06)"
5804.21,"Lace; mechanically made, of man-made fibres in the piece, in strips or in motifs, (other than fabrics of headings 60.02 to 60.06)"
5804.29,"Lace; mechanically made, of textile materials, (other than man-made fibres), in the piece, in strips or motifs, (other than fabrics of headings 60.02 to 60.06)"
5804.30,"Lace; hand-made, in the piece, in strips or motifs, (other than fabrics of headings 60.02 to 60.06)"
5805.00,"Tapestries; hand-woven, (Gobelins, Flanders, Aubusson, Beauvais and the like) and needle-worked tapestries (e.g. petit point, cross-stitch) whether or not made up"
5806.10,Fabrics; woven pile (including terry towelling and similar terry fabrics) and chenille fabrics (excluding goods of heading 5807)
5806.20,"Fabrics; narrow (excluding pile fabrics), containing by weight 5% or more of elastomeric yarn or rubber thread"
5806.31,"Fabrics; narrow woven fabrics, n.e.c. in heading no. 5806, of cotton (excluding goods of heading no. 5807)"
5806.32,"Fabrics, narrow woven fabrics, n.e.c. in heading no. 5806, of man-made fibres (excluding goods of heading no. 5807)"
5806.39,"Fabrics; narrow woven fabrics, n.e.c. in heading no. 5806, of textile materials n.e.c. in item no. 5806.3 (excluding goods of heading no. 5807)"
5806.40,"Fabrics; narrow woven, consisting of warp without weft, assembled by means of an adhesive (bolducs)"
5807.10,"Labels, badges and similar articles; woven, of textile materials, in the piece, in strips or cut to shape or size, not embroidered"
5807.90,"Labels, badges and similar articles; (other than woven), of textile materials, in the piece, in strips or cut to shape or size, not embroidered"
5808.10,Braids; in the piece
5808.90,"Ornamental trimmings; tassels, pompons and similar articles; ornamental trimmings in the piece, without embroidery, other than knitted or crocheted"
5809.00,"Fabrics, woven; of metal thread and metallised yarn of heading no. 5605, of a kind used in apparel, as furnishing fabrics or similar purposes; n.e.c. or included"
5810.10,"Embroidery; without visible ground, in the piece, in strips or in motifs"
5810.91,"Embroidery; with visible ground, of cotton, in the piece, in strips or in motifs"
5810.92,"Embroidery; with visible ground, of man-made fibres, in the piece, in strips or in motifs"
5810.99,"Embroidery; with visible ground, of textile materials (other than cotton and man-made fibres), in the piece, in strips or in motifs"
5811.00,"Quilted textile products; in the piece, composed of one or more layers of textile materials assembled with padding by stitching or otherwise (excluding embroidery of heading no. 5810)"
5901.10,"Textile fabrics; coated with gum or amylaceous substances, of a kind used for the outer covers of books or the like"
5901.90,"Textile fabrics; coated with gum or amylaceous substances, tracing cloth, prepared painting canvas, buckram and similar stiffened textile fabrics for hat foundations, (excluding book covers)"
5902.10,Textile fabrics; tyrecord of high tenacity yarn of nylon or other polyamides
5902.20,Textile fabrics; tyrecord of high tenacity yarn of polyester
5902.90,Textile fabrics; tyrecord of high tenacity yarn of viscose rayon
5903.10,"Textile fabrics; impregnated, coated, covered or laminated with poly(vinyl chloride)"
5903.20,"Textile fabrics; impregnated, coated, covered or laminated with polyurethane"
5903.90,"Textile fabrics; impregnated, coated, covered or laminated with plastics, (excluding polyvinyl chloride, polyurethane and those of heading no. 5902)"
5904.10,"Linoleum, whether or not cut to shape"
5904.90,"Textiles floor coverings; consisting of a coating or covering applied on a textile backing, whether or not cut to shape, other than linoleum"
5905.00,"Textile wall coverings of fabrics impregnated, coated, covered or laminated"
5906.10,"Textile fabrics, rubberised; (excluding those of heading no. 5902), adhesive tape of a width not exceeding 20cm"
5906.91,"Textile fabrics, rubberised; (excluding those of heading no. 5902 and adhesive tape of a width not exceeding 20cm), knitted or crocheted"
5906.99,"Textile fabrics, rubberised; (excluding those of heading no. 5902 and adhesive tape of a width not exceeding 20cm), not knitted or crocheted"
5907.00,"Textile fabrics; otherwise impregnated, coated or covered, painted canvas being theatrical scenery, studio back-cloths or the like"
5908.00,"Textile wicks, woven, plaited or knitted; for lamps, stoves, lighters, candles or the like; incandescent gas mantles and tubular knitted gas mantle fabric therefor, whether or not impregnated"
5909.00,"Textile hosepiping and similar textile tubing; with or without lining, armour or accessories of other materials"
5910.00,"Textiles; transmission or conveyor belts or belting, of textile material, whether or not impregnated, coated, covered or laminated with plastics, or reinforced with metal or other material"
5911.10,"Textile fabric, felt & felt-lined woven fabrics, coated/covered/laminated with rubber, leather or other material, for card clothing, similar fabrics used for technical purposes, including rubber impregnated narrow velvet fabrics to cover weaving spindles"
5911.20,"Textile products and articles for technical uses; bolting cloth, whether or not made up"
5911.31,"Textiles; fabrics and felts, endless or fitted with linking devices, of a kind used in paper-making or similar machines, weighing less than 650g/m2"
5911.32,"Textiles; fabrics and felts, endless or fitted with linking devices, of a kind used in paper-making or similar machines, weighing 650g/m2 or more"
5911.40,"Textile products and articles for technical uses; straining cloth of a kind used in oil presses and the like, including that of human hair"
5911.90,Textile products and articles for technical uses; n.e.c. in heading no. 5911
6001.10,"Fabrics; long pile fabrics, knitted or crocheted"
6001.21,"Fabrics; looped pile fabrics, of cotton, knitted or crocheted"
6001.22,"Fabrics; looped pile fabrics, of man-made fibres, knitted or crocheted"
6001.29,"Fabrics; looped pile fabrics, of textile materials (other than cotton or man-made fibres), knitted or crocheted"
6001.91,"Fabrics; pile fabrics (excluding long pile and loop pile), of cotton, knitted or crocheted"
6001.92,"Fabrics; pile fabrics (excluding long pile and loop pile), of man-made fibres, knitted or crocheted"
6001.99,"Fabrics; pile fabrics (excluding long pile and loop pile), of textile materials (other than cotton or man-made fibres), knitted or crocheted"
6002.40,"Fabrics; knitted or crocheted, other than those of heading 60.01, of a width not exceeding 30 cm, containing by weight 5% or more of elastomeric yarn but not containing rubber thread"
6002.90,"Fabrics; knitted or crocheted, other than those of heading 60.01, of a width not exceeding 30 cm, containing by weight 5% or more of elastomeric yarn or rubber thread"
6003.10,"Fabrics; knitted or crocheted fabrics, other than those of heading 60.01 and 60.02, of a width not exceeding 30 cm, of wool or fine animal hair"
6003.20,"Fabrics; knitted or crocheted fabrics, other than those of heading 60.01 and 60.02, of a width not exceeding 30 cm, of cotton"
6003.30,"Fabrics; knitted or crocheted fabrics, other than those of heading 60.01 and 60.02, of a width not exceeding 30 cm, of synthetic fibres"
6003.40,"Fabrics; knitted or crocheted fabrics, other than those of heading 60.01 and 60.02, of a width not exceeding 30 cm, of artificial fibres"
6003.90,"Fabrics; knitted or crocheted fabrics, other than those of heading 60.01 and 60.02, of a width not exceeding 30 cm, other than of wool and fine animal hair, cotton, synthetic or artificial fibres"
6004.10,"Fabrics; knitted or crocheted fabrics of a width exceeding 30 cm, other than those of heading 60.01, containing by weight 5% or more of elastomeric yarn but not containing rubber thread"
6004.90,"Fabrics; knitted or crocheted, other than those of heading 60.01, of a width exceeding 30 cm, containing by weight 5% or more of elastomeric yarn or rubber thread,"
6005.21,"Fabrics; warp knit (including those made on galloon knitting machines), other than those of headings 60.01 to 60.04, of cotton, unbleached or bleached"
6005.22,"Fabrics; warp knit (including those made on galloon knitting machines), other than those of headings 60.01 to 60.04, of cotton, dyed"
6005.23,"Fabrics; warp knit (including those made on galloon knitting machines), other than those of headings 60.01 to 60.04, of cotton, yarns of different colours"
6005.24,"Fabrics; warp knit (including those made on galloon knitting machines), other than those of headings 60.01 to 60.04, of cotton, printed"
6005.35,"Fabrics; warp knit (including those made on galloon knitting machines), other than those of headings 60.01 to 60.04, of synthetic fibres specified in Subheading Note 1 to this Chapter"
6005.36,"Fabrics; warp knit (including those made on galloon knitting machines), other than those of headings 60.01 to 60.04, of synthetic fibres, bleached or unbleached"
6005.37,"Fabrics; warp knit (including those made on galloon knitting machines), other than those of headings 60.01 to 60.04, of synthetic fibres, dyed"
6005.38,"Fabrics; warp knit (including those made on galloon knitting machines), other than those of headings 60.01 to 60.04, of synthetic fibres, yarns of different colours"
6005.39,"Fabrics; warp knit (including those made on galloon knitting machines), other than those of headings 60.01 to 60.04, of synthetic fibres, printed"
6005.41,"Fabrics; warp knit (including those made on galloon knitting machines), other than those of headings 60.01 to 60.04, of artificial fibres, bleached or unbleached"
6005.42,"Fabrics; warp knit (including those made on galloon knitting machines), other than those of headings 60.01 to 60.04, of artificial fibres, dyed"
6005.43,"Fabrics; warp knit (including those made on galloon knitting machines), other than those of headings 60.01 to 60.04, of artificial fibres, of yarns of different colours"
6005.44,"Fabrics; warp knit (including those made on galloon knitting machines), other than those of headings 60.01 to 60.04, of artificial fibres, printed"
6005.90,"Fabrics; warp knit (including those made on galloon knitting machines), other than those of headings 60.01 to 60.04, excluding those made from cotton or synthetic or artificial fibres"
6006.10,"Fabrics; knitted or crocheted fabrics, other than those of headings 60.01 to 60.04, of wool or fine animal hair"
6006.21,"Fabrics; knitted or crocheted fabrics, other than those of headings 60.01 to 60.04, of cotton, unbleached or bleached"
6006.22,"Fabrics; knitted or crocheted fabrics, other than those of headings 60.01 to 60.04, of cotton, dyed"
6006.23,"Fabrics; knitted or crocheted fabrics, other than those of headings 60.01 to 60.04, of cotton, of yarns of different colours"
6006.24,"Fabrics; knitted or crocheted fabrics, other than those of headings 60.01 to 60.04, of cotton, printed"
6006.31,"Fabrics; knitted or crocheted fabrics, other than those of headings 60.01 to 60.04, of synthetic fibres, unbleached or bleached"
6006.32,"Fabrics; knitted or crocheted fabrics, other than those of headings 60.01 to 60.04, of synthetic fibres, dyed"
6006.33,"Fabrics; knitted or crocheted fabrics, other than those of headings 60.01 to 60.04, of synthetic fibres, of yarns of different colours"
6006.34,"Fabrics; knitted or crocheted fabrics, other than those of headings 60.01 to 60.04, of synthetic fibres, printed"
6006.41,"Fabrics; knitted or crocheted fabrics, other than those of headings 60.01 to 60.04, of artificial fibres, unbleached or bleached"
6006.42,"Fabrics; knitted or crocheted fabrics, other than those of headings 60.01 to 60.04, of artificial fibres, dyed"
6006.43,"Fabrics; knitted or crocheted fabrics, other than those of headings 60.01 to 60.04, of artificial fibres, of yarns of different colours"
6006.44,"Fabrics; knitted or crocheted fabrics, other than those of headings 60.01 to 60.04, of artificial fibres, printed"
6006.90,"Fabrics; knitted or crocheted fabrics, other than those of headings 60.01 to 60.04,and other than those made of wool, fine animal hair, cotton, synthetic or artificial fibres"
6101.20,"Coats; men's or boys' overcoats, car-coats, capes, anoraks, wind-jackets and similar articles, of cotton, knitted or crocheted (excluding those of heading no. 6103)"
6101.30,"Coats; men's or boys' overcoats, car-coats, capes, anoraks, wind-jackets and similar articles, of man-made fibres, knitted or crocheted, (excluding those of heading no. 6103)"
6101.90,"Coats; men's or boys' overcoats, car-coats, capes, anoraks, wind-jackets and similar articles, of textile materials n.e.c. in heading no. 6101, knitted or crocheted (excluding those of heading no. 6103)"
6102.10,"Coats; women's or girls' overcoats, car-coats, capes, anoraks, wind-jackets and similar articles, of wool or fine animal hair, knitted or crocheted (excluding those of heading no. 6104)"
6102.20,"Coats; women's or girls' overcoats, car-coats, capes, anoraks, wind-jackets and similar articles, of cotton, knitted or crocheted (excluding those of heading no. 6104)"
6102.30,"Coats; women's or girls' overcoats, car-coats, capes, anoraks, wind-jackets and similar articles, of man-made fibres, knitted or crocheted (excluding those of heading no. 6104)"
6102.90,"Coats; women's or girls' overcoats, car-coats, capes, anoraks, wind-jackets and similar articles, of textile materials n.e.c. in heading no. 6102, knitted or crocheted (excluding those of heading no. 6104)"
6103.10,"Suits; men's or boys', knitted or crocheted"
6103.22,"Ensembles; men's or boys', of cotton, knitted or crocheted"
6103.23,"Ensembles; men's or boys', of synthetic fibres, knitted or crocheted"
6103.29,"Ensembles; men's or boys', of textile materials (other than cotton or synthetic fibres), knitted or crocheted"
6103.31,"Jackets and blazers; men's or boys', of wool or fine animal hair, knitted or crocheted"
6103.32,"Jackets and blazers; men's or boys', of cotton, knitted or crocheted"
6103.33,"Jackets and blazers; men's or boys', of synthetic fibres, knitted or crocheted"
6103.39,"Jackets and blazers; men's or boys', of textile materials (other than wool or fine animal hair, cotton or synthetic fibres), knitted or crocheted"
6103.41,"Trousers, bib and brace overalls, breeches and shorts; men's or boys', of wool or fine animal hair, knitted or crocheted"
6103.42,"Trousers, bib and brace overalls, breeches and shorts; men's or boys', of cotton, knitted or crocheted"
6103.43,"Trousers, bib and brace overalls, breeches and shorts; men's or boys', of synthetic fibres, knitted or crocheted"
6103.49,"Trousers, bib and brace overalls, breeches and shorts; men's or boys', of textile materials (other than wool or fine animal hair, cotton or synthetic fibres), knitted or crocheted"
6104.13,"Suits; women's or girls', of synthetic fibres, knitted or crocheted"
6104.19,"Suits; women's or girls', of textile materials (other than synthetic fibres), knitted or crocheted"
6104.22,"Ensembles; women's or girls', of cotton, knitted or crocheted"
6104.23,"Ensembles; women's or girls', of synthetic fibres, knitted or crocheted"
6104.29,"Ensembles; women's or girls', of textile materials (other than cotton or synthetic fibres), knitted or crocheted"
6104.31,"Jackets; women's or girls', of wool or fine animal hair, knitted or crocheted"
6104.32,"Jackets; women's or girls', of cotton, knitted or crocheted"
6104.33,"Jackets; women's or girls', of synthetic fibres, knitted or crocheted"
6104.39,"Jackets; women's or girls', of textile materials (other than wool or fine animal hair, cotton or synthetic fibres), knitted or crocheted"
6104.41,"Dresses; women's or girls', of wool or fine animal hair, knitted or crocheted"
6104.42,"Dresses; women's or girls', of cotton, knitted or crocheted"
6104.43,"Dresses; women's or girls', of synthetic fibres, knitted or crocheted"
6104.44,"Dresses; women's or girls', of artificial fibres, knitted or crocheted"
6104.49,"Dresses; women's or girls', of textile materials (other than wool or fine animal hair, cotton, synthetic or artificial fibres), knitted or crocheted"
6104.51,"Skirts and divided skirts; women's or girls', of wool or fine animal hair, knitted or crocheted"
6104.52,"Skirts and divided skirts; women's or girls', of cotton, knitted or crocheted"
6104.53,"Skirts and divided skirts; women's or girls', of synthetic fibres, knitted or crocheted"
6104.59,"Skirts and divided skirts; women's or girls', of textile materials (other than wool or fine animal hair, cotton or synthetic fibres), knitted or crocheted"
6104.61,"Trousers, bib and brace overalls, breeches and shorts; women's or girls', of wool or fine animal hair, knitted or crocheted"
6104.62,"Trousers, bib and brace overalls, breeches and shorts; women's or girls', of cotton, knitted or crocheted"
6104.63,"Trousers, bib and brace overalls, breeches and shorts; women's or girls', of synthetic fibres, knitted or crocheted"
6104.69,"Trousers, bib and brace overalls, breeches and shorts; women's or girls', of textile materials (other than wool or fine animal hair, cotton or synthetic fibres), knitted or crocheted"
6105.10,"Shirts; men's or boys', of cotton, knitted or crocheted"
6105.20,"Shirts; men's or boys', of man-made fibres, knitted or crocheted"
6105.90,"Shirts; men's or boys', of textile materials (other than cotton or man-made fibres), knitted or crocheted"
6106.10,"Blouses, shirts and shirt-blouses; women's or girls', of cotton, knitted or crocheted"
6106.20,"Blouses, shirts and shirt-blouses; women's or girls', of man-made fibres, knitted or crocheted"
6106.90,"Blouses, shirts and shirt-blouses; women's or girls', of textile materials (other than cotton or man-made fibres), knitted or crocheted"
6107.11,"Underpants and briefs; men's or boys', of cotton, knitted or crocheted"
6107.12,"Underpants and briefs; men's or boys', of man-made fibres, knitted or crocheted"
6107.19,"Underpants and briefs; men's or boys', of textile materials (other than cotton or man-made fibres), knitted or crocheted"
6107.21,"Nightshirts and pyjamas; men's or boys', of cotton, knitted or crocheted"
6107.22,"Nightshirts and pyjamas; men's or boys', of man-made fibres, knitted or crocheted"
6107.29,"Nightshirts and pyjamas; men's or boys', of textile materials (other than cotton or man-made fibres), knitted or crocheted"
6107.91,"Bathrobes, dressing gowns and similar articles; men's or boys', of cotton, knitted or crocheted"
6107.99,"Bathrobes, dressing gowns and similar articles; men's or boys', of textile materials (other than cotton), knitted or crocheted"
6108.11,"Slips and petticoats; women's or girls', of man-made fibres, knitted or crocheted"
6108.19,"Slips and petticoats; women's or girls', of textile materials (other than man-made fibres), knitted or crocheted"
6108.21,"Briefs and panties; women's or girls', of cotton, knitted or crocheted"
6108.22,"Briefs and panties; women's or girls', of man-made fibres, knitted or crocheted"
6108.29,"Briefs and panties; women's or girls', of textile materials (other than cotton or man-made fibres), knitted or crocheted"
6108.31,"Nightdresses and pyjamas; women's or girls', of cotton, knitted or crocheted"
6108.32,"Nightdresses and pyjamas; women's or girls', of man-made fibres, knitted or crocheted"
6108.39,"Nightdresses and pyjamas; women's or girls', of textile materials (other than cotton or man-made fibres), knitted or crocheted"
6108.91,"Negligees, bathrobes, dressing gowns and similar articles; women's or girls', of cotton, knitted or crocheted"
6108.92,"Negligees, bathrobes, dressing gowns and similar articles; women's or girls', of man-made fibres, knitted or crocheted"
6108.99,"Negligees, bathrobes, dressing gowns and similar articles; women's or girls', of textile materials (other than cotton or man-made fibres), knitted or crocheted"
6109.10,"T-shirts, singlets and other vests; of cotton, knitted or crocheted"
6109.90,"T-shirts, singlets and other vests; of textile materials (other than cotton), knitted or crocheted"
6110.11,"Jerseys, pullovers, cardigans, waistcoats and similar articles; knitted or crocheted, of wool or fine animal hair"
6110.12,"Jerseys, pullovers, cardigans, waistcoats and similar articles; knitted or crocheted, of fibres from kashmir (cashmere) goats"
6110.19,"Jerseys, pullovers, cardigans, waistcoats and similar articles; knitted or crocheted, of fine animal hair other than that of kashmir (cashmere) goats"
6110.20,"Jerseys, pullovers, cardigans, waistcoats and similar articles; of cotton, knitted or crocheted"
6110.30,"Jerseys, pullovers, cardigans, waistcoats and similar articles; of man-made fibres, knitted or crocheted"
6110.90,"Jerseys, pullovers, cardigans, waistcoats and similar articles; of textile materials (other than wool or fine animal hair, cotton or man-made fibres), knitted or crocheted"
6111.20,"Garments and clothing accessories; babies', of cotton, knitted or crocheted"
6111.30,"Garments and clothing accessories; babies', of synthetic fibres, knitted or crocheted"
6111.90,"Garments and clothing accessories; babies', of textile materials (other than cotton or synthetic fibres), knitted or crocheted"
6112.11,"Track suits; of cotton, knitted or crocheted"
6112.12,"Track suits; of synthetic fibres, knitted or crocheted"
6112.19,"Track suits; of textile materials (other than cotton or synthetic fibres), knitted or crocheted"
6112.20,Ski suits; knitted or crocheted
6112.31,"Swimwear; men's or boys', of synthetic fibres, knitted or crocheted"
6112.39,"Swimwear; men's or boys', of textile materials (other than synthetic fibres), knitted or crocheted"
6112.41,"Swimwear; women's or girls', of synthetic fibres, knitted or crocheted"
6112.49,"Swimwear; women's or girls', of textile materials (other than synthetic fibres), knitted or crocheted"
6113.00,"Garments made up of knitted or crocheted fabrics of heading no. 5903, 5906 and 5907"
6114.20,"Garments; of cotton, knitted or crocheted, n.e.c. in chapter 61"
6114.30,"Garments; of man-made fibres, knitted or crocheted, n.e.c. in chapter 61"
6114.90,"Garments; of textile materials (other than cotton or man-made fibres), knitted or crocheted, n.e.c. in chapter 61"
6115.10,"Graduated compression hosiery (for example, stockings for varicose veins), knitted or crocheted"
6115.21,"Hosiery; panty hose and tights (other than graduated compression hosiery), of synthetic fibres, measuring per single yarn less than 67 decitex, knitted or crocheted"
6115.22,"Hosiery; panty hose and tights (other than graduated compression hosiery), of synthetic fibres, measuring per single yarn 67 decitex or more, knitted or crocheted"
6115.29,"Hosiery; panty hose and tights (other than graduated compression hosiery), of textile materials (other than synthetic fibres), knitted or crocheted"
6115.30,"Hosiery; women's, full-length or knee-length (other than graduated compression hosiery), measuring per single yarn less than 67 decitex, knitted or crocheted"
6115.94,"Hosiery and footwear; without applied soles, of wool or fine animal hair, knitted or crocheted (excluding graduated compression hosiery, panty hose, tights, women's full or knee-length hosiery measuring per single yarn less than 67 decitex)"
6115.95,"Hosiery and footwear; without applied soles, of cotton, knitted or crocheted (excluding graduated compression hosiery, panty hose, tights, full or knee-length hosiery measuring per single yarn less than 67 decitex)"
6115.96,"Hosiery and footwear; without applied soles, of synthetic fibres, knitted or crocheted (excluding graduated compression hosiery, panty hose, tights, full or knee-length hosiery measuring per single yarn less than 67 decitex)"
6115.99,"Hosiery and footwear; without applied soles, of textile materials n.e.c. in item no. 6115.9, knitted or crocheted (excluding graduated compression hosiery, panty hose, tights, full or knee-length hosiery measuring per single yarn less than 67 decitex)"
6116.10,"Gloves, mittens and mitts; knitted or crocheted, impregnated, coated, covered or laminated with plastics or rubber"
6116.91,"Gloves, mittens and mitts; of wool or fine animal hair, knitted or crocheted, (other than impregnated, coated, covered or laminated with plastics or rubber)"
6116.92,"Gloves, mittens and mitts; of cotton, knitted or crocheted, (other than impregnated, coated, covered or laminated with plastics or rubber)"
6116.93,"Gloves, mittens and mitts; of synthetic fibres, knitted or crocheted, (other than impregnated, coated, covered or laminated with plastics or rubber)"
6116.99,"Gloves, mittens and mitts; of textile materials (other than wool or fine animal hair, cotton or synthetic fibres), knitted or crocheted, (other than impregnated, coated, covered or laminated with plastics or rubber)"
6117.10,"Shawls, scarves, mufflers, mantillas, veils and the like; knitted or crocheted"
6117.80,"Clothing accessories; knitted or crocheted, n.e.c. in heading no. 6117"
6117.90,"Clothing; parts, knitted or crocheted"
6201.20,"Coats; men's or boys', overcoats, raincoats, car-coats, capes, cloaks, anoraks (including ski-jackets) and similar articles, of wool or fine animal hair, other than those of heading no. 6203 (not knitted or crocheted)"
6201.30,"Coats; men's or boys', overcoats, raincoats, car-coats, capes, cloaks, anoraks (including ski-jackets) and similar articles, of cotton, other than those of heading no. 6203 (not knitted or crocheted)"
6201.40,"Coats; men's or boys', overcoats, raincoats, car-coats, capes, cloaks, anoraks (including ski-jackets) and similar articles, of man-made fibres, other than those of heading no. 6203 (not knitted or crocheted)"
